id,hi,di,ht,dbh
1,0,45.1,13.3,11.7
1,1,37.1,13.3,11.7
1,2,36.3,13.3,11.7
1,3,34.2,13.3,11.7
1,4,32.5,13.3,11.7
1,5,30,13.3,11.7
1,6,28.2,13.3,11.7
1,7,26.6,13.3,11.7
1,8,24.9,13.3,11.7
1,9,19.2,13.3,11.7
1,10,16.7,13.3,11.7
1,11,13.1,13.3,11.7
1,12,9,13.3,11.7
1,13,3.9,13.3,11.7
1,13.3,0,13.3,11.7
2,0,29.1,11.63,7
2,1,22.8,11.63,7
2,2,22,11.63,7
2,3,20.1,11.63,7
2,4,19,11.63,7
2,5,17.8,11.63,7
2,6,15.5,11.63,7
2,7,12.7,11.63,7
2,8,10.4,11.63,7
2,9,7,11.63,7
2,10,3,11.63,7
2,11.63,0,11.63,7
3,0,24.8,10.23,5.4
3,1,18,10.23,5.4
3,2,16.2,10.23,5.4
3,3,15.9,10.23,5.4
3,4,14.4,10.23,5.4
3,5,13.5,10.23,5.4
3,6,11.7,10.23,5.4
3,7,11,10.23,5.4
3,8,8.6,10.23,5.4
3,9,5.9,10.23,5.4
3,10,3.8,10.23,5.4
3,10.23,0,10.23,5.4
4,0,51.9,13.35,12.7
4,1,42.7,13.35,12.7
4,2,39.4,13.35,12.7
4,3,37.2,13.35,12.7
4,4,33.7,13.35,12.7
4,5,27,13.35,12.7
4,6,31.7,13.35,12.7
4,7,29.1,13.35,12.7
4,8,22.1,13.35,12.7
4,9,16.7,13.35,12.7
4,10,20,13.35,12.7
4,11,11.5,13.35,12.7
4,12,5.5,13.35,12.7
4,13.35,0,13.35,12.7
5,0,36.3,15.35,9
5,1,31,15.35,9
5,2,29,15.35,9
5,3,28,15.35,9
5,4,26,15.35,9
5,5,25,15.35,9
5,6,23.2,15.35,9
5,7,21.4,15.35,9
5,8,20.2,15.35,9
5,9,18.6,15.35,9
5,10,17,15.35,9
5,11,14.6,15.35,9
5,12,12.4,15.35,9
5,13,9.8,15.35,9
5,14,6,15.35,9
5,15,0,15.35,9
6,0,49.3,19.7,12.9
6,1,40.7,19.7,12.9
6,2,39.7,19.7,12.9
6,3,37.8,19.7,12.9
6,4,36.3,19.7,12.9
6,5,34.4,19.7,12.9
6,6,33.7,19.7,12.9
6,7,31.5,19.7,12.9
6,8,30.2,19.7,12.9
6,9,29,19.7,12.9
6,10,26.8,19.7,12.9
6,11,25.6,19.7,12.9
6,12,23.2,19.7,12.9
6,13,21,19.7,12.9
6,14,18.9,19.7,12.9
6,15,17.1,19.7,12.9
6,16,14.6,19.7,12.9
6,17,12.1,19.7,12.9
6,18,8.5,19.7,12.9
6,19,3.6,19.7,12.9
6,20,0,19.7,12.9
7,0,55,20.36,14.6
7,1,48.1,20.36,14.6
7,2,45,20.36,14.6
7,3,43.9,20.36,14.6
7,4,41.9,20.36,14.6
7,5,39.2,20.36,14.6
7,6,38.8,20.36,14.6
7,7,36.4,20.36,14.6
7,8,34.1,20.36,14.6
7,9,32.9,20.36,14.6
7,10,31.9,20.36,14.6
7,11,29,20.36,14.6
7,12,27.1,20.36,14.6
7,13,25.7,20.36,14.6
7,14,23.2,20.36,14.6
7,15,18.3,20.36,14.6
7,16,15.5,20.36,14.6
7,17,11.7,20.36,14.6
7,18,8.1,20.36,14.6
7,19,2.9,20.36,14.6
7,20,0,20.36,14.6
8,0,40.1,18.57,10.6
8,1,34.8,18.57,10.6
8,2,32.8,18.57,10.6
8,3,32.2,18.57,10.6
8,4,30.1,18.57,10.6
8,5,29.6,18.57,10.6
8,6,27.5,18.57,10.6
8,7,27.3,18.57,10.6
8,8,25.3,18.57,10.6
8,9,24.7,18.57,10.6
8,10,22.1,18.57,10.6
8,11,20.4,18.57,10.6
8,12,18.8,18.57,10.6
8,13,16.7,18.57,10.6
8,14,14.8,18.57,10.6
8,15,12.7,18.57,10.6
8,16,10.3,18.57,10.6
8,17,7.4,18.57,10.6
8,18,3.4,18.57,10.6
8,18.57,0,18.57,10.6
